File,Columns,Explanation
,iucnStatus,"IUCN conservation statuses as given in IUCN 2024-1 and matched to MDD species, then updated to the currently recognized taxonomy ('NE' means not yet assessed by the IUCN; 19 domestic species are also not evaluated; otherwise the standard IUCN status acronyms are used)"
,extinct,"0 = extant, 1 = extinct; species has gone entirely extinct or is expected to have become extinct after 1500 CE (similar criterion as used by IUCN)"
,domestic,"0 = species is wild; 1 = species is domesticated; domestic species are treated as distinct entities for politicaly/conservation purposes here for species with ancient domestication history (19 species in total, including Homo sapiens); this arrangement follows naming guidelines from the following publication - Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
,flagged,"0 = valid, not flagged; 1 = flagged as taxonomically questionable; this field is often used for species with controversial taxonomic arrangements, or whos taxonomy is being debated in the taxonomic literature"
,CMW_sciName,unique combination of taxonomic genus and specific epithet with an underscore connecting them -- from the Illustrated Checklist of the Mammals of the World (CMW)
,diffSinceCMW,0 = species present in CMW taxonomy; 1 = species new since CMW 2020
,MSW3_matchtype,"category of automated or manual matching to the third edition of Mammals Species of the World (MSW3) scientific names; values are matched, unmatched, manual"
,MSW3_sciName,scientific name as matched to the MSW3 taxonomy
,diffSinceMSW3,0 = species present in MSW3 taxonomy; 1 = species is new since MSW3 cutoff of ~2004
,,
MDD1.8_species_list,,Complete species list and associated data for Mammal Diversity Database version 1.8.
,sciName,"unique combination of taxonomic genus and specific epithet with an underscore connecting them to be used in the MDD.  Uses formula to fill cell from the 'genus' and 'specificEpithet' columns, DO NOT EDIT MANUALLY"
,id,"unique identification number used for indexing and permalinking; initially numbered (14 Sep 2020) as counting up from 1000001 when sorting by phylosort, suborder, infraorder... genus, speciesEpithet; subsequent numbering will be added from 1006485 and up"
